IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.163.137,443,443,true,FRA,Europe,Frankfurt,174,7.69
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,176,7.69
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,190,7.68
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,185,7.67
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,182,7.66
34.118.20.128,443,443,true,FRA,Europe,Frankfurt,186,7.63
34.118.81.178,443,443,true,FRA,Europe,Frankfurt,187,7.61
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,184,7.59
34.65.157.194,443,443,true,FRA,Europe,Frankfurt,178,7.58
34.116.249.21,443,443,true,FRA,Europe,Frankfurt,276,7.58
34.116.239.245,443,443,true,FRA,Europe,Frankfurt,212,7.54
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,206,7.53
34.65.188.127,443,443,true,FRA,Europe,Frankfurt,177,7.53
34.118.101.53,443,443,true,FRA,Europe,Frankfurt,186,7.52
34.116.224.139,443,443,true,FRA,Europe,Frankfurt,189,7.48
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,256,7.38
34.65.139.196,443,443,true,FRA,Europe,Frankfurt,244,7.38
34.116.182.70,443,443,true,FRA,Europe,Frankfurt,233,7.35
34.34.186.205,443,443,true,CDG,Europe,Paris,230,7.35
34.34.186.205,443,443,true,CDG,Europe,Paris,226,7.33
35.237.127.69,80,0,false,ATL,North America,Atlanta,218,7.31
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,236,7.14
34.65.173.251,443,443,true,FRA,Europe,Frankfurt,258,7.14
34.118.99.120,443,443,true,AMS,Europe,Amsterdam,189,7.09
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,193,6.93
34.91.241.171,443,443,true,FRA,Europe,Frankfurt,245,6.92
34.116.212.119,443,443,true,FRA,Europe,Frankfurt,221,6.92
34.122.12.237,443,443,true,ORD,North America,Chicago,205,6.91
34.118.112.135,443,443,true,FRA,Europe,Frankfurt,207,6.82
34.34.24.213,443,443,true,FRA,Europe,Frankfurt,243,6.79
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,242,6.75
34.118.105.183,443,443,true,FRA,Europe,Frankfurt,206,6.71
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,206,6.68
34.118.76.188,443,443,true,FRA,Europe,Frankfurt,189,6.66
