IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.221.215.200,2023,true,TPE,Asia Pacific,Taipei,82 ms,16648 kB/s
18.183.137.85,2083,true,LAX,North America,Los Angeles,91 ms,14964 kB/s
149.104.23.58,34237,true,HKG,Asia Pacific,Hong Kong,73 ms,10694 kB/s
154.17.28.199,8001,true,LAX,North America,Los Angeles,186 ms,10253 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,228 ms,9395 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,224 ms,9194 kB/s
38.59.226.113,34237,true,LHR,Europe,London,198 ms,9163 kB/s
8.222.211.124,2087,true,HKG,Asia Pacific,Hong Kong,268 ms,9084 kB/s
185.212.62.26,25953,true,LHR,Europe,London,205 ms,8940 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,243 ms,8821 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,242 ms,8630 kB/s
185.212.62.26,27053,true,LHR,Europe,London,196 ms,8610 kB/s
47.236.87.246,2083,true,HKG,Asia Pacific,Hong Kong,281 ms,8582 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,227 ms,8536 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,225 ms,8469 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,237 ms,8417 kB/s
8.222.130.137,2083,true,HKG,Asia Pacific,Hong Kong,262 ms,8351 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,227 ms,8347 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,240 ms,8347 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,242 ms,8340 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,224 ms,8315 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,232 ms,8289 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,227 ms,8284 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,242 ms,8277 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,235 ms,8255 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,233 ms,8239 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,232 ms,8184 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,233 ms,8128 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,245 ms,8119 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,229 ms,8096 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,225 ms,8077 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,221 ms,8039 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,238 ms,8034 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,237 ms,8020 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,247 ms,8016 kB/s
218.54.200.63,30048,true,ICN,Asia Pacific,Seoul,70 ms,8008 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,228 ms,7980 kB/s
47.236.114.167,2096,true,HKG,Asia Pacific,Hong Kong,271 ms,7954 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,219 ms,7948 kB/s
47.236.83.239,2096,true,HKG,Asia Pacific,Hong Kong,275 ms,7921 kB/s
8.222.229.22,2087,true,HKG,Asia Pacific,Hong Kong,263 ms,7918 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,234 ms,7914 kB/s
47.236.161.155,2053,true,HKG,Asia Pacific,Hong Kong,254 ms,7889 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,230 ms,7839 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,220 ms,7812 kB/s
38.59.225.235,34237,true,LHR,Europe,London,202 ms,7667 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,229 ms,7644 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,247 ms,7593 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,219 ms,7569 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,227 ms,7521 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,220 ms,7521 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,235 ms,7476 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,225 ms,7196 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,75 ms,7015 kB/s
