
IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.236.171.205	2082	2082	FALSE	SIN	Asia Pacific	Singapore	12	10.69
8.222.150.197	2052	2052	FALSE	SIN	Asia Pacific	Singapore	17	10.69
8.219.67.133	8880	8880	FALSE	SIN	Asia Pacific	Singapore	22	10.69
8.219.60.68	2087	2087	TRUE	SIN	Asia Pacific	Singapore	128	10.69
8.219.0.162	8443	8443	TRUE	SIN	Asia Pacific	Singapore	123	10.69
8.219.141.174	2086	2086	FALSE	SIN	Asia Pacific	Singapore	22	10.68
47.236.104.98	2053	2053	TRUE	SIN	Asia Pacific	Singapore	46	10.68
8.219.163.195	2096	2096	TRUE	SIN	Asia Pacific	Singapore	89	10.68
8.219.107.135	8880	8880	FALSE	SIN	Asia Pacific	Singapore	25	10.67
8.217.250.5	80	80	FALSE	HKG	Asia Pacific	Hong Kong	64	10.67
8.219.50.180	8443	8443	TRUE	SIN	Asia Pacific	Singapore	62	10.67
8.219.206.53	2082	2082	FALSE	SIN	Asia Pacific	Singapore	10	10.67
47.236.125.62	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	122	10.66
8.219.210.64	80	80	FALSE	SIN	Asia Pacific	Singapore	6	10.66
47.74.7.51	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	335	10.66
8.219.152.195	2087	2087	TRUE	SIN	Asia Pacific	Singapore	94	10.66
