IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
159.138.139.236,13080,443,true,HKG,Asia Pacific,Hong Kong,21,58.25
8.217.221.165,2083,2083,true,HKG,Asia Pacific,Hong Kong,16,36.59
156.251.183.241,30808,80,false,HKG,Asia Pacific,Hong Kong,44,35.41
183.232.195.205,2082,2082,false,HKG,Asia Pacific,Hong Kong,24,31.30
8.218.122.55,2053,2053,true,HKG,Asia Pacific,Hong Kong,23,29.48
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,23,27.68
8.218.105.223,8080,8080,false,HKG,Asia Pacific,Hong Kong,17,27.16
103.20.222.236,34650,443,true,HKG,Asia Pacific,Hong Kong,46,27.01
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,16,23.84
103.20.223.120,49354,443,true,HKG,Asia Pacific,Hong Kong,46,22.29
8.218.105.223,8880,8880,false,HKG,Asia Pacific,Hong Kong,24,21.69
103.20.222.99,40424,443,true,HKG,Asia Pacific,Hong Kong,41,20.50
124.156.173.46,80,80,false,HKG,Asia Pacific,Hong Kong,24,20.36
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,46,20.35
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,25,20.33
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,19.73
150.129.41.50,1448,443,true,HKG,Asia Pacific,Hong Kong,47,19.05
103.103.245.225,20305,443,true,HKG,Asia Pacific,Hong Kong,44,19.02
8.218.201.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,15,18.89
103.103.245.65,38527,443,true,HKG,Asia Pacific,Hong Kong,48,18.45
183.232.195.205,2052,2052,false,HKG,Asia Pacific,Hong Kong,21,18.01
8.218.188.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,18,17.97
8.218.122.55,443,443,true,HKG,Asia Pacific,Hong Kong,16,17.87
8.218.174.118,2052,2052,false,HKG,Asia Pacific,Hong Kong,21,15.84
150.129.41.50,1450,443,true,HKG,Asia Pacific,Hong Kong,60,15.25
168.138.211.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,245,15.19
8.218.105.223,2082,2082,false,HKG,Asia Pacific,Hong Kong,25,14.98
165.154.42.244,34237,2096,true,HKG,Asia Pacific,Hong Kong,16,14.93
138.3.215.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,245,14.51
8.217.221.165,8080,8080,false,HKG,Asia Pacific,Hong Kong,25,13.00
8.218.122.55,2086,2086,false,HKG,Asia Pacific,Hong Kong,21,12.98
8.209.222.232,80,80,false,HKG,Asia Pacific,Hong Kong,178,12.85
8.210.245.224,8080,8080,false,HKG,Asia Pacific,Hong Kong,29,12.46
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,16,12.25
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,19,11.53
8.218.105.223,2052,2052,false,HKG,Asia Pacific,Hong Kong,21,11.38
8.218.122.55,80,80,false,HKG,Asia Pacific,Hong Kong,18,11.35
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,18,11.26
8.218.174.118,2086,2086,false,HKG,Asia Pacific,Hong Kong,21,11.06
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,22,10.12
156.251.179.136,34237,2096,true,HKG,Asia Pacific,Hong Kong,55,10.11
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,28,9.86
18.167.172.112,443,443,true,HKG,Asia Pacific,Hong Kong,95,9.72
156.251.172.117,34237,2096,true,HKG,Asia Pacific,Hong Kong,43,9.56
47.245.57.38,8443,8443,true,HKG,Asia Pacific,Hong Kong,165,9.38
8.210.245.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,25,9.30
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,25,8.19
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,27,8.13
168.138.211.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,254,7.94
138.2.31.68,2083,2083,true,HKG,Asia Pacific,Hong Kong,234,7.89
138.2.31.68,8443,8443,true,HKG,Asia Pacific,Hong Kong,239,7.76
159.138.131.240,443,443,true,HKG,Asia Pacific,Hong Kong,22,7.68
8.210.245.224,2086,2086,false,HKG,Asia Pacific,Hong Kong,30,7.44
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,23,7.36
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,22,7.18
150.230.105.228,2053,2053,true,HKG,Asia Pacific,Hong Kong,240,6.77
131.186.40.31,2086,2086,false,HKG,Asia Pacific,Hong Kong,249,6.58
150.230.105.228,2095,2095,false,HKG,Asia Pacific,Hong Kong,233,6.43
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,21,6.31
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,22,6.30
47.245.57.38,8080,8080,false,HKG,Asia Pacific,Hong Kong,182,6.17
138.2.31.68,2082,2082,false,HKG,Asia Pacific,Hong Kong,248,5.86
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,26,5.75
47.245.57.38,8880,8880,false,HKG,Asia Pacific,Hong Kong,166,5.73
152.70.102.124,2086,2086,false,HKG,Asia Pacific,Hong Kong,243,5.69
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,32,5.67
34.92.17.175,443,443,true,HKG,Asia Pacific,Hong Kong,218,5.65
138.3.215.11,80,80,false,HKG,Asia Pacific,Hong Kong,245,5.64
168.138.196.164,2095,2095,false,HKG,Asia Pacific,Hong Kong,251,5.44
168.138.211.188,2095,2095,false,HKG,Asia Pacific,Hong Kong,258,5.43
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,27,5.38
8.217.85.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,20,5.37
138.3.215.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,249,5.08
8.209.222.232,2095,2095,false,HKG,Asia Pacific,Hong Kong,175,5.04
47.245.57.38,80,80,false,HKG,Asia Pacific,Hong Kong,165,5.00
38.207.179.190,33135,443,true,HKG,Asia Pacific,Hong Kong,84,4.78
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,23,4.74
152.70.102.124,2082,2082,false,HKG,Asia Pacific,Hong Kong,244,4.60
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,17,4.40
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,4.16
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,26,4.08
47.245.57.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,172,3.79
132.145.121.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,242,3.69
47.245.57.38,2086,2086,false,HKG,Asia Pacific,Hong Kong,189,3.53
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,3.53
18.167.208.181,443,443,true,HKG,Asia Pacific,Hong Kong,108,3.51
132.145.121.242,2095,2095,false,HKG,Asia Pacific,Hong Kong,232,3.23
16.163.18.210,443,443,true,HKG,Asia Pacific,Hong Kong,126,3.21
